SKU	Product ID	Short Description	Category Name	Brand	Model	Image Link	Product URL	Price	Shipment Costs
ASUT100TA-DK003H_RFB	24	Intel Atom Z3740 1.33 GHz | 10.1" Touch (1366 x 768) | 2GB RAM | 64GB eMMC HDD | Intel HD Graphics | Windows 8.1	Refurbished	Asus	Asus T100TA-DK003H Transformer Refurbished Laptop	http://www.wireless1.com.au/media/catalog/product/i/m/image2_5.jpg	http://www.wireless1.com.au/laptops/laptop-type/refurbished/asus-t100ta-dk003h-refurbished-laptop	399.00	
ASUTAICHI21-CW003H_RFB	25	Intel Core i5-3317U 1.7GHz | 11.6" Dual LED Screen (Touch Outer) | 4GB RAM | 128GB SSD | Windows 8	Refurbished	Asus	Asus TAICHI21-CW003H Refurbished Laptop	http://www.wireless1.com.au/media/catalog/product/t/a/taichi21_2.jpg	http://www.wireless1.com.au/laptops/laptop-type/refurbished/asus-taichi21-cw003h-refurbished-laptop	749.00	
ASUTAICHI21-CW015H_RFB	28	Intel Core i5-3337U 1.8GHz | 11.6" FHD Touch Screen (Outside) &amp; 11.6" FHD LED Screen (Inside) | 4GB RAM | 128GB SSD | Windows 8	Oz-Bargain Stunner Deals	Asus	Asus TAICHI21-CW015H Refurbished Laptop	http://www.wireless1.com.au/media/catalog/product/t/a/taichi21_3__2.jpg	http://www.wireless1.com.au/ozbargain-specials/asus-taichi21-cw015h-refurbished-laptop	699.00	
ASUTAICHI31-CX022H_RFB	31	Intel Core i5-3337U 2.7GHz | 13.3" Dual LED Screen (Touch Outer) | 4GB RAM | 128GB SSD | Windows 8	Oz-Bargain Stunner Deals	Asus	Asus TAICHI31-CX022H Refurbished Laptop	http://www.wireless1.com.au/media/catalog/product/t/a/taichi31_front.jpg	http://www.wireless1.com.au/ozbargain-specials/asus-taichi31-cx022h-refurbished-laptop	949.00	
ASUTX201LA-CQ004H	32	Intel Core i5 3337U Dock CPU + Intel Z2560 Tablet CPU | 11.6" LED Touch | 2GB RAM on Screen 4GB RAM on Dock | 16GB on Screen 500GB HDD on Dock | Windows 8	Transformer	Asus	Asus TX201LA-CQ004H Transformer	http://www.wireless1.com.au/media/catalog/product/d/b/dbac0aopavgiwj88_500.jpg	http://www.wireless1.com.au/laptops/laptop-type/transformer/asus-tx201la-cq004h-transformer	1,199.00	
ASUU38N-C4016H_RFB	33	AMD A8-4555M 1.6GHz | 13.3" Touch Screen Full HD | 4GB RAM | 128GB SSD | Windows 8	Oz-Bargain Stunner Deals	Asus	Asus U38N-C4016H Refurbished Laptop	http://www.wireless1.com.au/media/catalog/product/u/3/u38n-c4016h-image4.jpg	http://www.wireless1.com.au/ozbargain-specials/asus-u38n-c4016h-refurbished-laptop	699.00	
TOSPLM01A-00200C	42	Intel Celeron N2955U 1.4GHz | 13.3" HD LED Screen | 2GB RAM | 16GB SSD | CHROME OS	Notebooks	Toshiba	Toshiba CB30-002 13.3" Chromebook Laptop	http://www.wireless1.com.au/media/catalog/product/c/b/cb30-002-image1.jpg	http://www.wireless1.com.au/laptops/laptop-type/toshiba-cb30-002-laptop	339.00	
TOSPSKNEA-04G034	44	Intel Core i7-4700MQ 2.4GHz | 17.3" (1600x900) | 8GB RAM | 1TB HDD | NVIDIA GeForce GT 740M 2GB | Windows 8	Notebooks	Toshiba	Toshiba Satellite S70T-A04G Laptop	http://www.wireless1.com.au/media/catalog/product/s/7/s70t-a04g_1.jpg	http://www.wireless1.com.au/laptops/laptop-type/toshiba-satellite-s70t-a04g-laptop	1,399.00	
TOSPSKPSA-018023	45	AMD A6-5200 Quad Core 2.0GHz | 15.6" | 8GB DDR3 RAM | 750GB HDD | AMD Radeon HD 8400G | Windows 8	Notebooks	Toshiba	Toshiba Satellite U50D-A018 Laptop	http://www.wireless1.com.au/media/catalog/product/e/1/e1d0820bb499dffdc464365ec55d6d02.jpg	http://www.wireless1.com.au/laptops/laptop-type/toshiba-satellite-u50d-a018-laptop	699.00	
TOSPSPLPA-07T040	46	Intel Core i7-4700MQ 2.4GHz | 17.3" FHD (1920x1080) | 16GB RAM | 8GB SSD + 1TB HDD | NVIDIA GeForce GT 740M 2GB | Windows 8	Notebooks	Toshiba	Toshiba Satellite P70-A07T Laptop	http://www.wireless1.com.au/media/catalog/product/t/o/toshiba_p70-a07t_1_.jpg	http://www.wireless1.com.au/laptops/laptop-type/toshiba-satellite-p70-a07t-laptop	1,588.00	
TOSPSPLPA-08S040	47	Intel i7-4700MQ 2.4GHz | 17.3" | 16GB DDR3 RAM | 2TB HDD + 8GB SSD | NVIDIA GeForce GT745M 4GB | Windows 8	Notebooks	Toshiba	Toshiba P70-A08S Laptop	http://www.wireless1.com.au/media/catalog/product/p/7/p70-a08s-5.jpg	http://www.wireless1.com.au/laptops/laptop-type/toshiba-p70-a08s-laptop	2,099.00	
ASUDSL-N55U	50	This Modem Router suits ADSL2+ | Dual Band Wireless N | Wi-Fi speeds of up to 600Mbps | Strong Range | 2 x USB ports	Asus Cashback Promotion	Asus	Asus DSL-N55U Dual-band ADSL Modem Router N600	http://www.wireless1.com.au/media/catalog/product/d/s/dsl-n55u-dual-band-adsl-router-n600_1_1.jpg	http://www.wireless1.com.au/asus-cashback/asus-dsl-n55u-dual-band-adsl-modem-router-n600	124.00	
ASUEA-N66	51	This Adapter is Dual Band | Wireless N | Wi-Fi speeds of up to 900Mbps | Strong Range	Wireless Adaptors &amp; Dongles	Asus	Asus EA-N66 Wireless Gigabit Ethernet Adapter N450	http://www.wireless1.com.au/media/catalog/product/e/a/ea-n66_1.jpg	http://www.wireless1.com.au/networking/networking-products/asus-ea-n66-wireless-gigabit-ethernet-adapter-n450	99.00	
ASUPCE-AC68	52	This Adapter is Dual Band | Wireless AC | Wi-Fi speeds of up to 1900Mbps | Strong Range	Wireless Adaptors &amp; Dongles	Asus	Asus PCE-AC68 Dual Band Wi-Fi AC1900 Pci-e Adapter	http://www.wireless1.com.au/media/catalog/product/p/c/pce-ac68_1.jpg	http://www.wireless1.com.au/networking/networking-products/asus-pce-ac68-dualband-wifi-ac1900-pci-e-adapter	109.00	
ASURP-N53	53	This Range Extender is Dual Band | Wireless N | Wi-Fi speeds of up to 600Mbps | Strong Range	Wireless Range Extenders	Asus	Asus RP-N53 Dual-band WIRELESS-N600 Range Extender	http://www.wireless1.com.au/media/catalog/product/r/p/rp-n53_1.jpg	http://www.wireless1.com.au/networking/networking-products/asus-rp-n53-dual-band-wireless-n600-range-extender	89.00	
ASURT-AC66U	54	This Router suits Cable/NBN | Dual Band Wireless AC | Combined Dual Band Wi-Fi speeds of up to 1750Mbps | Strong Range | 2 x USB ports	Wireless Routers	Asus	Asus RT-AC66U Dual-band Wireless AC1750 Gigabit Router	http://www.wireless1.com.au/media/catalog/product/r/t/rt-ac66u_2_1.jpg	http://www.wireless1.com.au/networking/networking-products/asus-rt-ac66u-wireless-dual-band-gigabit-router	213.99	
ASURT-AC68U	55	This Router suits Cable/NBN | Dual Band Wireless AC | Wi-Fi speeds of up to 1900Mbps | Strong Range | 1 x USB 2.0 port | 1 x USB 3.0 port	Asus Cashback Promotion	Asus	Asus RT-AC68U  Dual Band  Wireless AC1900 GIGABYTE Router	http://www.wireless1.com.au/media/catalog/product/r/t/rt-ac68u_1_1.jpg	http://www.wireless1.com.au/asus-cashback/asus-rt-ac68u-ac1900-dual-band-router	235.00	
ASURT-N66U	56	This Router suits Cable/NBN | Wireless N | Combined Dual Band Wi-Fi speeds of up to 900Mbps | Strong Range | 2 x USB ports	Wireless Routers	Asus	Asus RT-N66U Wireless Dual-band N900 Gigabit Router	http://www.wireless1.com.au/media/catalog/product/r/t/rt-n66u_1.jpg	http://www.wireless1.com.au/networking/networking-products/asus-rt-n66u-dual-band-n900-gigabit-router	175.00	
ASUUSB-AC53	57	This USB Adapter is Dual Band | Wireless AC | Combined Dual Band Wi-Fi speeds of up to 300+867Mbps | Strong Range	Wireless Adaptors &amp; Dongles	Asus	Asus USB-AC53 Dual-band AC1200 USB Adapter	http://www.wireless1.com.au/media/catalog/product/u/s/usb-ac53_3.jpg	http://www.wireless1.com.au/networking/networking-products/asus-usb-ac53-dual-band-adapter	39.00	
ASUUSBN-13	58	This Wi-Fi USB Adapter is Single Band | Wireless N | Data rate of up to 300Mbps | Up to 150m Range	Wireless Adaptors &amp; Dongles	Asus	Asus USB-N13 Wireless N300 USB Adapter	http://www.wireless1.com.au/media/catalog/product/u/s/usb-n13_2.jpg	http://www.wireless1.com.au/networking/networking-products/asus-usb-n13-wireless-n-adapter-n300	18.99	
DLIDAP-1320	59	This Wi-Fi Range Extender is Single Band | Wireless N | Wi-Fi speeds of up to 300Mbps | Moderate Range 	Wireless Range Extenders	D-Link	D-Link DAP-1320 Wireless N300 Range Extender	http://www.wireless1.com.au/media/catalog/product/d/a/dap-1320_ps1.jpg	http://www.wireless1.com.au/networking/networking-products/d-link-dap-1320-wireless-n300-range-extender	35.00	
DLIDAP-1360	60	This Access Point is Single Band | Wireless N | Wi-Fi speeds of up to 300Mbps | Moderate Range 	Wireless Access Points	D-Link	D-Link DAP-1360 Wireless N300 Access Point	http://www.wireless1.com.au/media/catalog/product/d/a/dap-1360_ps4.jpg	http://www.wireless1.com.au/networking/networking-products/d-link-dap-1360-wireless-n-access-point	49.00	
DLIDAP-1650	61	This Wi-Fi Range Extender is Dual Band | Wireless AC | Combined Dual Band Wi-Fi speeds of up to 1.2 Gbps | Strong Range	Wireless Range Extenders	D-Link	D-Link DAP-1650 AC1200 Dual Band Range Extender	http://www.wireless1.com.au/media/catalog/product/d/a/dap-1650_ps1.jpg	http://www.wireless1.com.au/networking/networking-products/d-link-dap-1650-ac1200-dual-band-range-extender	119.00	
DLIDCS-2132L	62	HD Video Resolution up to 1280 x 800 | IR LEDs capture movements at Night | mydlink+ app for iOS &amp; Android | E-mail Alerts | View Angles up to 57.8 degrees Horizontal &amp; 37.8 degrees Vertical | Up to 10X Digital Zoom	Security Cameras	D-Link	D-Link DCS-2132L HD Cloud Camera	http://www.wireless1.com.au/media/catalog/product/d/c/dcs-2132l_ps1.jpg	http://www.wireless1.com.au/networking/networking-products/d-link-dcs-2132l-hd-cloud-camera	159.00	
DLIDCS-5010L	63	Video Resolution up to 640 x 480 | IR LEDs capture movements at Night | mydlink+ app for iOS and Android | Email Alerts | Pan Range up to 340 degrees | Tilt Range up to 120 degrees | 4X Digital Zoom	Security Cameras	D-Link	D-Link DCS-5010L Cloud Camera	http://www.wireless1.com.au/media/catalog/product/d/c/dcs-5010l_ps1.jpg	http://www.wireless1.com.au/networking/networking-products/d-link-dcs-5010l-cloud-camera	128.00	
DLIDCS-5020L	64	Video Resolution up to 480p | IR LEDs capture Night movements | App for iOS &amp; Android | Email Alerts | Pan Range up to 340 degrees | Tilt Range up to 120 degrees | Built-in Wi-Fi Extender | Sound &amp; Motion Detection	Security Cameras	D-Link	D-Link DCS-5020L Cloud Camera	http://www.wireless1.com.au/media/catalog/product/d/c/dcs-5020l_ps1.jpg	http://www.wireless1.com.au/networking/networking-products/d-link-dcs-5020l-cloud-camera	166.00	
DLIDCS-825L	65	This Wi-Fi Baby Camera has HD Resolution of 1280 x 720 | Lens Focal length of 3.3 mm | Wireless N | Built-in Microphone and Speaker | MicroSDHC Card Slot	D-Link Promo	D-Link	D-Link DCS-825L Wi-Fi Baby Camera Pink Blue Trim	http://www.wireless1.com.au/media/catalog/product/d/c/dcs-825l_ps1.jpg	http://www.wireless1.com.au/d-link-promo/d-link-dcs-825l-wifi-baby-camera-pink-blue-trim	178.98	
DLIDCS-930L	66	Video Resolution up to 640 x 480 | 1.0 lux Cmos Sensor captures movements in Low light | E-mail Alerts | View Angles up to 45.3 degrees Horizontal &amp; 34.5 degrees Vertical | Up to 4X Digital Zoom	Security Cameras	D-Link	D-Link DCS-930L Wireless N Network Camera	http://www.wireless1.com.au/media/catalog/product/d/c/dcs-930l_ps1.jpg	http://www.wireless1.com.au/networking/networking-products/d-link-dcs-930l-wireless-n-network-camera	38.99	
DLIDCS-932L	67	Video Resolution up to 640 x 480 | IR LEDs capture movements at Night | Automated E-mail Alerts | View Angles up to 45.3 degrees Horizontal &amp; 34.5 degrees Vertical | Up to 4X Digital Zoom	Security Cameras	D-Link	D-Link DCS-932L Cloud Camera	http://www.wireless1.com.au/media/catalog/product/d/c/dcs-932l_ps1.jpg	http://www.wireless1.com.au/networking/networking-products/d-link-dcs-932l-cloud-camera	74.00	
