ASUTAICHI21-CW003H_RFB;Asus TAICHI21-CW003H Refurbished Laptop;http://www.wireless1.com.au/laptops/laptop-type/refurbished/asus-taichi21-cw003h-refurbished-laptop;Laptops, Laptop Type, Refurbished;http://www.wireless1.com.au/media/catalog/product/t/a/taichi21_2.jpg;749.0000;1599;Intel Core i5-3317U 1.7GHz | 11.6" Dual LED Screen (Touch Outer) | 4GB RAM | 128GB SSD | Windows 8;TAICHI21-CW003H;Asus;
ASUTAICHI21-CW015H_RFB;Asus TAICHI21-CW015H Refurbished Laptop;http://www.wireless1.com.au/ozbargain-specials/asus-taichi21-cw015h-refurbished-laptop;Best Sellers, Laptops, Laptop Type, Refurbished, Oz-Bargain Stunner Deals;http://www.wireless1.com.au/media/catalog/product/t/a/taichi21_3__2.jpg;699.0000;1749;Intel Core i5-3337U 1.8GHz | 11.6" FHD Touch Screen (Outside) &amp 11.6" FHD LED Screen (Inside) | 4GB RAM | 128GB SSD | Windows 8;TAICHI21-CW015H;Asus;
ASUTAICHI31-CX022H_RFB;Asus TAICHI31-CX022H Refurbished Laptop;http://www.wireless1.com.au/ozbargain-specials/asus-taichi31-cx022h-refurbished-laptop;Laptops, Laptop Type, Refurbished, Oz-Bargain Stunner Deals;http://www.wireless1.com.au/media/catalog/product/t/a/taichi31_front.jpg;949.0000;1799;Intel Core i5-3337U 2.7GHz | 13.3" Dual LED Screen (Touch Outer) | 4GB RAM | 128GB SSD | Windows 8;TAICHI31-CX022H;Asus;
ASUTX201LA-CQ004H;Asus TX201LA-CQ004H Transformer;http://www.wireless1.com.au/laptops/laptop-type/transformer/asus-tx201la-cq004h-transformer;Laptops, Laptop Type, Transformer;http://www.wireless1.com.au/media/catalog/product/d/b/dbac0aopavgiwj88_500.jpg;1199.0000;1799;Intel Core i5 3337U Dock CPU + Intel Z2560 Tablet CPU | 11.6" LED Touch | 2GB RAM on Screen 4GB RAM on Dock | 16GB on Screen 500GB HDD on Dock | Windows 8;TX201LA-CQ004H;Asus;
ASUU38N-C4016H_RFB;Asus U38N-C4016H Refurbished Laptop;http://www.wireless1.com.au/ozbargain-specials/asus-u38n-c4016h-refurbished-laptop;Best Sellers, Laptops, Laptop Type, Refurbished, Oz-Bargain Stunner Deals;http://www.wireless1.com.au/media/catalog/product/u/3/u38n-c4016h-image4.jpg;699.0000;1299;AMD A8-4555M 1.6GHz | 13.3" Touch Screen Full HD | 4GB RAM | 128GB SSD | Windows 8;U38N-C4016H;Asus;
TOSPLM01A-00200C;Toshiba CB30-002 13.3" Chromebook Laptop;http://www.wireless1.com.au/laptops/laptop-type/toshiba-cb30-002-laptop;Laptops, Laptop Type, Notebooks;http://www.wireless1.com.au/media/catalog/product/c/b/cb30-002-image1.jpg;339.0000;599;Intel Celeron N2955U 1.4GHz | 13.3" HD LED Screen | 2GB RAM | 16GB SSD | CHROME OS;PLM01A-00200C;Toshiba;
TOSPSKNEA-04G034;Toshiba Satellite S70T-A04G Laptop;http://www.wireless1.com.au/laptops/laptop-type/toshiba-satellite-s70t-a04g-laptop;Laptops, Laptop Type, Notebooks;http://www.wireless1.com.au/media/catalog/product/s/7/s70t-a04g_1.jpg;1399.0000;1999;Intel Core i7-4700MQ 2.4GHz | 17.3" (1600x900) | 8GB RAM | 1TB HDD | NVIDIA GeForce GT 740M 2GB | Windows 8;PSKNEA-04G034;Toshiba;
TOSPSKPSA-018023;Toshiba Satellite U50D-A018 Laptop;http://www.wireless1.com.au/laptops/laptop-type/toshiba-satellite-u50d-a018-laptop;Laptops, Laptop Type, Notebooks;http://www.wireless1.com.au/media/catalog/product/1/2/1263d32cdac59755ab68dfbb1b62651a.jpg;699.0000;999;AMD A6-5200 Quad Core 2.0GHz | 15.6" | 8GB DDR3 RAM | 750GB HDD | AMD Radeon HD 8400G | Windows 8;PSKPSA-018023;Toshiba;
TOSPSPLPA-07T040;Toshiba Satellite P70-A07T Laptop;http://www.wireless1.com.au/laptops/laptop-type/toshiba-satellite-p70-a07t-laptop;Laptops, Laptop Type, Notebooks;http://www.wireless1.com.au/media/catalog/product/t/o/toshiba_p70-a07t_1_.jpg;1588.0000;1999;Intel Core i7-4700MQ 2.4GHz | 17.3" FHD (1920x1080) | 16GB RAM | 8GB SSD + 1TB HDD | NVIDIA GeForce GT 740M 2GB | Windows 8;PSPLPA-07T040;Toshiba;
TOSPSPLPA-08S040;Toshiba P70-A08S Laptop;http://www.wireless1.com.au/laptops/laptop-type/toshiba-p70-a08s-laptop;Laptops, Laptop Type, Notebooks;http://www.wireless1.com.au/media/catalog/product/p/7/p70-a08s-2.jpg;2099.0000;2399;Intel i7-4700MQ 2.4GHz | 17.3" | 16GB DDR3 RAM | 2TB HDD + 8GB SSD | NVIDIA GeForce GT745M 4GB | Windows 8;PSPLPA-08S040;Toshiba;
ASUDSL-N55U;Asus DSL-N55U Dual-band ADSL Modem Router N600;http://www.wireless1.com.au/asus-cashback/asus-dsl-n55u-dual-band-adsl-modem-router-n600;Networking, Networking Products, Modem Routers, Asus Cashback Promotion;http://www.wireless1.com.au/media/catalog/product/d/s/dsl-n55u-dual-band-adsl-router-n600_1_1.jpg;124.0000;229;This Modem Router suits ADSL2+ | Dual Band Wireless N | Wi-Fi speeds of up to 600Mbps | Strong Range | 2 x USB ports;DSL-N55U;Asus;
ASUEA-N66;Asus EA-N66 Wireless Gigabit Ethernet Adapter N450;http://www.wireless1.com.au/networking/networking-products/asus-ea-n66-wireless-gigabit-ethernet-adapter-n450;Networking, Networking Products, Wireless Adaptors &amp Dongles;http://www.wireless1.com.au/media/catalog/product/e/a/ea-n66_1.jpg;99.0000;169;This Adapter is Dual Band | Wireless N | Wi-Fi speeds of up to 900Mbps | Strong Range;EA-N66;Asus;
ASUPCE-AC68;Asus PCE-AC68 Dual Band Wi-Fi AC1900 Pci-e Adapter;http://www.wireless1.com.au/networking/networking-products/asus-pce-ac68-dualband-wifi-ac1900-pci-e-adapter;Networking, Networking Products, Wireless Adaptors &amp Dongles;http://www.wireless1.com.au/media/catalog/product/p/c/pce-ac68_1.jpg;109.0000;139;This Adapter is Dual Band | Wireless AC | Wi-Fi speeds of up to 1900Mbps | Strong Range;PCE-AC68;Asus;
ASURP-N53;Asus RP-N53 Dual-band WIRELESS-N600 Range Extender;http://www.wireless1.com.au/networking/networking-products/asus-rp-n53-dual-band-wireless-n600-range-extender;Networking, Networking Products, Wireless Range Extenders;http://www.wireless1.com.au/media/catalog/product/r/p/rp-n53_1.jpg;89.0000;149;This Range Extender is Dual Band | Wireless N | Wi-Fi speeds of up to 600Mbps | Strong Range;RP-N53;Asus;
ASURT-AC66U;Asus RT-AC66U Dual-band Wireless AC1750 Gigabit Router;http://www.wireless1.com.au/networking/networking-products/asus-rt-ac66u-wireless-dual-band-gigabit-router;Networking, Networking Products, Wireless Routers;http://www.wireless1.com.au/media/catalog/product/r/t/rt-ac66u_2_1.jpg;213.9900;379;This Router suits Cable/NBN | Dual Band Wireless AC | Combined Dual Band Wi-Fi speeds of up to 1750Mbps | Strong Range | 2 x USB ports;RT-AC66U;Asus;
ASURT-AC68U;Asus RT-AC68U  Dual Band  Wireless AC1900 GIGABYTE Router;http://www.wireless1.com.au/asus-cashback/asus-rt-ac68u-ac1900-dual-band-router;Networking, Networking Products, Wireless Routers, Asus Cashback Promotion;http://www.wireless1.com.au/media/catalog/product/r/t/rt-ac68u_1_1.jpg;235.0000;329;This Router suits Cable/NBN | Dual Band Wireless AC | Wi-Fi speeds of up to 1900Mbps | Strong Range | 1 x USB 2.0 port | 1 x USB 3.0 port;RT-AC68U;Asus;
